brand,capability,observed,evidence_status,interpretation_limit,competitive_evidence,potential_revenue_mechanism,internal_validation_needed
"But First, Coffee",Delivery,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,,,
Starbucks,Delivery,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,,,
The Coffee Bean & Tea Leaf,Delivery,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,,,
"But First, Coffee",Digital Ordering,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,Starbucks Mobile Order & Pay observed,"Convenience, frequency and queue reduction","Adoption, order frequency, operational capacity, margin"
Starbucks,Digital Ordering,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,Starbucks Mobile Order & Pay observed,"Convenience, frequency and queue reduction","Adoption, order frequency, operational capacity, margin"
The Coffee Bean & Tea Leaf,Digital Ordering,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,Starbucks Mobile Order & Pay observed,"Convenience, frequency and queue reduction","Adoption, order frequency, operational capacity, margin"
"But First, Coffee",E-commerce,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,CBTL marketplace e-commerce observed,Non-store and merchandise revenue,"Demand, fulfillment cost, incremental contribution"
Starbucks,E-commerce,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,CBTL marketplace e-commerce observed,Non-store and merchandise revenue,"Demand, fulfillment cost, incremental contribution"
The Coffee Bean & Tea Leaf,E-commerce,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,CBTL marketplace e-commerce observed,Non-store and merchandise revenue,"Demand, fulfillment cost, incremental contribution"
"But First, Coffee",Gifting,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,Starbucks GrabGifts observed,Incremental occasions and prepaid demand,"Incremental occasions, redemption, breakage, margin"
Starbucks,Gifting,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,Starbucks GrabGifts observed,Incremental occasions and prepaid demand,"Incremental occasions, redemption, breakage, margin"
The Coffee Bean & Tea Leaf,Gifting,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,Starbucks GrabGifts observed,Incremental occasions and prepaid demand,"Incremental occasions, redemption, breakage, margin"
"But First, Coffee",Loyalty,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,,,
Starbucks,Loyalty,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,,,
The Coffee Bean & Tea Leaf,Loyalty,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,,,
"But First, Coffee",Payments & Partnerships,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,BFC BPI VYBE / QR Ph partnership observed,"Acquisition, payment adoption and promotion","Acquisition, repeat rate, promo cost, contribution"
Starbucks,Payments & Partnerships,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,BFC BPI VYBE / QR Ph partnership observed,"Acquisition, payment adoption and promotion","Acquisition, repeat rate, promo cost, contribution"
The Coffee Bean & Tea Leaf,Payments & Partnerships,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,BFC BPI VYBE / QR Ph partnership observed,"Acquisition, payment adoption and promotion","Acquisition, repeat rate, promo cost, contribution"
"But First, Coffee",Physical Access,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,,,
Starbucks,Physical Access,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,,,
The Coffee Bean & Tea Leaf,Physical Access,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,,,
"But First, Coffee",Physical Expansion,1,Observed in collected evidence,Not observed does not establish that the capability is unavailable,BFC franchise model and store access observed,Geographic reach and transaction capacity,"Unit economics, store productivity, payback period"
Starbucks,Physical Expansion,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,BFC franchise model and store access observed,Geographic reach and transaction capacity,"Unit economics, store productivity, payback period"
The Coffee Bean & Tea Leaf,Physical Expansion,0,Not observed in collected evidence,Not observed does not establish that the capability is unavailable,BFC franchise model and store access observed,Geographic reach and transaction capacity,"Unit economics, store productivity, payback period"
